REF_AREA,REF_AREA_LABEL,INDICATOR_LABEL,TIME_PERIOD,OBS_VALUE,COMMENT_TS,UNIT_MULT,UNIT_MULT_LABEL,DATA_SOURCE,DATA_SOURCE_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,Column 1,Column 2
AUT,Austria,GDP per capita (current US$),1960,939.9148147,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
BHS,"Bahamas, The",GDP per capita (current US$),1960,1459.253825,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
BGD,Bangladesh,GDP per capita (current US$),1960,82.48127741,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
BRB,Barbados,GDP per capita (current US$),1960,346.5754568,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
BEL,Belgium,GDP per capita (current US$),1960,1290.286072,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
BLZ,Belize,GDP per capita (current US$),1960,307.4145083,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
BEN,Benin,GDP per capita (current US$),1960,89.85692465,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
BMU,Bermuda,GDP per capita (current US$),1960,1715.314632,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
BOL,Bolivia,GDP per capita (current US$),1960,100.8150829,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
BWA,Botswana,GDP per capita (current US$),1960,58.91800811,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
BRA,Brazil,GDP per capita (current US$),1960,235.2660095,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
BFA,Burkina Faso,GDP per capita (current US$),1960,69.15024561,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
BDI,Burundi,GDP per capita (current US$),1960,70.90510003,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
CMR,Cameroon,GDP per capita (current US$),1960,119.0539412,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
CAN,Canada,GDP per capita (current US$),1960,2264.948497,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
CAF,Central African Republic,GDP per capita (current US$),1960,65.88296298,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
TCD,Chad,GDP per capita (current US$),1960,102.8194705,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
CHL,Chile,GDP per capita (current US$),1960,516.4875391,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
CHN,China,GDP per capita (current US$),1960,89.71507492,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
COL,Colombia,GDP per capita (current US$),1960,258.3044336,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
COD,"Congo (the Democratic Republic of the)",GDP per capita (current US$),1960,220.0745502,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
COG,"Congo, Rep.",GDP per capita (current US$),1960,124.6596704,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
CRI,Costa Rica,GDP per capita (current US$),1960,382.3091218,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
CIV,Cote d'Ivoire,GDP per capita (current US$),1960,148.680789,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
DNK,Denmark,GDP per capita (current US$),1960,1389.021394,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
DOM,Dominican Republic,GDP per capita (current US$),1960,205.7315099,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
ECU,Ecuador,GDP per capita (current US$),1960,450.7763171,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
EGY,"Egypt, Arab Rep.",GDP per capita (current US$),1960,156.3873975,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
SWZ,Eswatini,GDP per capita (current US$),1960,101.5727998,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
ETH,Ethiopia,GDP per capita (current US$),1960,75.33960907,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
FJI,Fiji,GDP per capita (current US$),1960,277.4315355,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
FIN,Finland,GDP per capita (current US$),1960,1191.855089,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
FRA,France,GDP per capita (current US$),1960,1302.531497,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
GAB,Gabon,GDP per capita (current US$),1960,276.1361695,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
DEU,Germany,GDP per capita (current US$),1960,1162.122668,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
GHA,Ghana,GDP per capita (current US$),1960,174.8588565,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
GRC,Greece,GDP per capita (current US$),1960,513.0858624,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
GTM,Guatemala,GDP per capita (current US$),1960,256.8131153,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
GUY,Guyana,GDP per capita (current US$),1960,299.0746458,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
HTI,Haiti,GDP per capita (current US$),1960,70.80244544,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
HND,Honduras,GDP per capita (current US$),1960,162.7741191,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
HKG,"Hong Kong SAR, China",GDP per capita (current US$),1960,426.7738079,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
ISL,Iceland,GDP per capita (current US$),1960,1436.258854,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
IND,India,GDP per capita (current US$),1960,84.93280848,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
IRN,"Iran, Islamic Rep.",GDP per capita (current US$),1960,195.5775272,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
IRQ,Iraq,GDP per capita (current US$),1960,218.9178025,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
IRL,Ireland,GDP per capita (current US$),1960,706.5510223,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
ISR,Israel,GDP per capita (current US$),1960,1452.48664,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
ITA,Italy,GDP per capita (current US$),1960,836.9058503,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
JAM,Jamaica,GDP per capita (current US$),1960,423.6740982,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
JPN,Japan,GDP per capita (current US$),1960,508.7027793,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
KEN,Kenya,GDP per capita (current US$),1960,102.8244175,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
KOR,"Korea, Rep.",GDP per capita (current US$),1960,158.2741359,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
LSO,Lesotho,GDP per capita (current US$),1960,46.95178027,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
LBR,Liberia,GDP per capita (current US$),1960,167.1714982,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
LBY,Libya,GDP per capita (current US$),1960,269.0380731,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
LUX,Luxembourg,GDP per capita (current US$),1960,2261.177418,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
MDG,Madagascar,GDP per capita (current US$),1960,131.6920183,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
MYS,Malaysia,GDP per capita (current US$),1960,240.8474146,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
MUS,Mauritius,GDP per capita (current US$),1960,238.2510334,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
MEX,Mexico,GDP per capita (current US$),1960,355.0751996,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
MAR,Morocco,GDP per capita (current US$),1960,174.7841339,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
MMR,Myanmar,GDP per capita (current US$),1960,25.08477572,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
NPL,Nepal,GDP per capita (current US$),1960,50.21252337,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
NLD,Netherlands,GDP per capita (current US$),1960,1156.385977,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
NZL,New Zealand,GDP per capita (current US$),1960,2334.133721,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
NIC,Nicaragua,GDP per capita (current US$),1960,127.4838121,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
NER,Niger,GDP per capita (current US$),1960,128.2512014,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
NGA,Nigeria,GDP per capita (current US$),1960,93.13700904,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
NOR,Norway,GDP per capita (current US$),1960,1451.285078,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
OMN,Oman,GDP per capita (current US$),1960,83.38531052,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
PAK,Pakistan,GDP per capita (current US$),1960,82.02410001,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
PAN,Panama,GDP per capita (current US$),1960,477.037935,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
PNG,Papua New Guinea,GDP per capita (current US$),1960,115.5304905,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
PRY,Paraguay,GDP per capita (current US$),1960,153.3752168,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
PER,Peru,GDP per capita (current US$),1960,252.7967827,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
PHL,Philippines,GDP per capita (current US$),1960,269.4651465,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
PRT,Portugal,GDP per capita (current US$),1960,376.9764303,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
PRI,Puerto Rico,GDP per capita (current US$),1960,717.5148431,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
RWA,Rwanda,GDP per capita (current US$),1960,39.37407281,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
SAU,Saudi Arabia,GDP per capita (current US$),1960,717.796629,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
SEN,Senegal,GDP per capita (current US$),1960,300.4251152,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
SYC,Seychelles,GDP per capita (current US$),1960,288.0581445,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
SLE,Sierra Leone,GDP per capita (current US$),1960,142.0200184,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
SGP,Singapore,GDP per capita (current US$),1960,428.0561834,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
SOM,Somalia,GDP per capita (current US$),1960,62.73962794,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
ZAF,South Africa,GDP per capita (current US$),1960,532.1475043,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
ESP,Spain,GDP per capita (current US$),1960,407.9630279,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
LKA,Sri Lanka,GDP per capita (current US$),1960,145.9287013,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
KNA,St. Kitts and Nevis,GDP per capita (current US$),1960,221.5845861,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
VCT,St. Vincent and the Grenadines,GDP per capita (current US$),1960,154.8399535,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
SDN,Sudan,GDP per capita (current US$),1960,99.71311951,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
SUR,Suriname,GDP per capita (current US$),1960,377.5793997,GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public,,
