Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Cameroon,CMR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.518,3.528,3.568,3.601,3.622,3.87,3.973,3.653,3.613,3.518
"Congo (the Democratic Republic of the)",COD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.439,4.521,4.601,4.618,4.591,5.345,5.28,4.522,4.484,4.556
"Congo, Rep.",COG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,19.978,20.223,20.611,20.701,20.392,22.198,21.96,20.108,19.898,19.694
Colombia,COL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.572,8.922,9.086,9.36,10.28,15.983,13.898,10.547,9.594,9.608
Comoros,COM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.121,4.104,4.03,3.942,3.934,4.471,4.394,3.816,3.776,3.875
Cabo Verde,CPV,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.907,12.077,12.24,12.17,12.128,14.69,13.976,12.246,11.971,11.878
Costa Rica,CRI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.415,8.085,7.729,9.01,10.807,16.432,15.139,11.325,8.325,7.848
Caribbean small states,CSS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.197331467,8.498719006,8.220608871,8.422285556,8.162114305,9.86550042,9.538943393,8.388552353,7.821884021,7.423938916
Cuba,CUB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.4,2,1.7,1.7,1.705,2.24,2.116,1.82,1.719,1.53
Curaçao,CUW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
Cayman Islands,CYM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
Cyprus,CYP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,15.026,13.006,11.155,8.504,7.155,7.755,7.513,6.806,6.098,5.602
Czechia,CZE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.048,3.952,2.893,2.246,2.015,2.55,2.803,2.224,2.579,2.506
Germany,DEU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.612,4.104,3.781,3.384,3.163,3.881,3.594,3.12,3.068,3.406
Djibouti,DJI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,26.07,25.992,26.064,26.184,26.256,27.713,27.668,26.307,26.154,25.875
Dominica,DMA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
Denmark,DNK,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.278,5.989,5.833,5.131,5.018,5.637,5.043,4.434,5.094,5.587
Dominican Republic,DOM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.605,7.284,5.832,5.861,6.356,6.126,7.702,5.504,5.555,5.473
Algeria,DZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.206,10.202,12,12.137,12.259,14.057,13.63,12.346,11.701,11.427
East Asia & Pacific (excluding high income),EAP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.116369924,4.034042927,3.911714815,3.802343783,3.893305531,4.360739681,4.122485917,4.223298385,3.972396589,3.885789699
Early-demographic dividend,EAR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.821258332,6.759151988,6.745125147,6.79972999,6.334711304,7.410809782,6.786333959,5.714150891,5.260029505,5.298738986
East Asia & Pacific,EAS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.082512928,3.995805158,3.865650242,3.744974769,3.814721,4.289700499,4.054342453,4.089531228,3.857711655,3.783246133
Europe & Central Asia (excluding high income),ECA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.014593048,9.092405672,8.991502814,8.661131657,9.164450303,9.316387245,9.010554343,7.815804015,7.333127511,6.911840306
Europe & Central Asia,ECS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.570259081,8.091535647,7.498619372,6.898466519,6.645073581,7.113002368,6.910928566,5.859394448,5.586352535,5.368775607
Ecuador,ECU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.616,4.597,3.836,3.53,3.812,6.127,4.552,3.761,3.51,4.773
"Egypt, Arab Rep.",EGY,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,13.052,12.45,11.767,9.855,7.851,7.974,7.441,7.344,7.334,7.198
Euro area,EMU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.88315194,10.03346318,9.069845299,8.158556294,7.519361423,7.829555597,7.722352289,6.749181605,6.557963146,6.413875718
Eritrea,ERI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.541,5.554,5.577,5.511,5.552,6.088,6.177,5.695,5.586,5.553
Spain,ESP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,22.057,19.635,17.224,15.255,14.104,15.532,14.781,12.917,12.179,11.394
Estonia,EST,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.412,6.882,5.807,5.412,4.514,6.956,6.178,5.571,6.378,7.828
Ethiopia,ETH,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.443,2.554,2.662,2.802,2.917,3.994,3.935,3.409,3.402,3.398
European Union,EUU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.01839871,9.107661317,8.134074913,7.255923595,6.688575564,7.053502103,7.014184537,6.144234647,6.025065807,5.918130252
Fragile and conflict affected situations,FCS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.470641381,5.617015486,5.830651942,5.829739634,5.879107366,6.651807556,6.777619441,5.609176212,5.20087834,5.021248451
Finland,FIN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.376,8.818,8.64,7.361,6.695,7.759,7.617,6.719,7.151,8.26
Fiji,FJI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.291,4.319,4.324,4.335,4.373,4.649,4.701,4.446,4.322,4.307
France,FRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.354,10.057,9.409,9.018,8.415,8.009,7.874,7.308,7.335,7.37
Faroe Islands,FRO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
Gabon,GAB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,19.978,20.134,20.303,20.439,20.358,21.27,21.218,20.399,20.278,20.061
United Kingdom,GBR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.517,4.867,4.452,4.12,3.613,4.472,4.826,3.73,3.984,4.111
Georgia,GEO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,16.506,16.604,13.939,12.667,11.565,11.73,11.791,11.647,11.537,11.48
Ghana,GHA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.806,5.232,3.369,3.253,3.16,3.313,3.384,3.084,3.063,3.007
Gibraltar,GIB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
Guinea,GIN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.224,5.013,4.826,4.787,5.018,6.018,5.827,5.267,5.244,5.23
"Gambia, The",GMB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.26,6.285,5.157,4.127,4.538,5.892,6.269,6.076,6.479,6.496
Guinea-Bissau,GNB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.157,3.123,3.066,3.127,2.413,2.89,3.031,2.666,2.65,2.622
Equatorial Guinea,GNQ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.95,7.962,8.004,7.967,8.064,8.781,8.976,8.455,8.367,7.823
Greece,GRC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,24.981,23.514,21.413,19.179,17.045,15.899,14.656,12.426,11.066,10.133
Grenada,GRD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
Greenland,GRL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
Guatemala,GTM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.506,2.583,2.462,2.283,2.193,2.955,2.174,3.051,2.344,2.219
Guam,GUM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.9,5.4,5.418,5.449,5.401,6.248,5.991,5.454,5.363,5.586
Guyana,GUY,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,13.004,13.257,13.462,13.627,13.172,15.334,14.557,12.013,12.025,10.165
High income,HIC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.546483807,6.105665639,5.576590792,5.082106014,4.763018043,6.461614778,5.560637186,4.503011318,4.338660165,4.398870168
"Hong Kong SAR, China",HKG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.314,3.392,3.124,2.805,2.917,5.808,5.174,4.318,2.949,2.793
Honduras,HND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.147,6.727,5.528,5.648,5.698,10.982,8.506,8.774,6.07,6.061
Heavily indebted poor countries (HIPC),HPC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.428670974,4.371447715,4.384236968,4.35098845,4.358911386,5.084669868,4.990254516,4.446642037,4.226617652,4.212603895
Croatia,HRV,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,16.175,13.103,11.208,8.432,6.617,7.507,7.608,6.96,6.086,5.236
Haiti,HTI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,13.724,13.852,13.881,13.878,14.057,15.546,15.28,14.635,14.556,15.058
Hungary,HUN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.813,5.115,4.156,3.708,3.419,4.25,4.045,3.609,4.107,4.434
IBRD only,IBD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.314932288,6.425582128,6.402894796,6.294315686,6.080765594,6.972138213,6.339003291,5.601595187,5.164780802,5.10842146
IDA & IBRD total,IBT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.90583826,5.965620379,5.988941555,5.924439811,5.783017561,6.643821142,6.171750281,5.423946597,5.03556816,4.975973122
IDA total,IDA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.446008815,4.344256583,4.552178647,4.660565415,4.782675381,5.576853161,5.630881022,4.862195674,4.62580357,4.559413839
IDA blend,IDB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.002560861,3.732200964,4.350360646,4.758530254,5.077267315,5.847926637,5.830786587,4.811322606,4.415089752,4.374618427
Indonesia,IDN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.514,4.301,3.783,4.387,3.59,4.255,3.827,3.462,3.308,3.3
IDA only,IDX,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.695851504,4.689466093,4.665303603,4.606044701,4.61871805,5.424442148,5.517774929,4.890880348,4.748146829,4.667701724
Isle of Man,IMN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.631,7.601,7.618,7.652,6.51,7.859,6.38,4.822,4.172,4.202
Not classified,INX,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
Ireland,IRL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.908,8.374,6.713,5.741,4.95,5.623,6.364,4.501,4.288,4.369
"Iran, Islamic Rep.",IRN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.166,12.618,12.232,12.195,10.74,9.687,9.282,9.085,9.041,9.192
Iraq,IRQ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.842,10.82,13.02,13.49,14.109,15.778,16.173,15.511,15.447,15.524
Iceland,ISL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.979,2.978,2.742,2.704,3.507,5.478,6.029,3.789,3.518,3.107
Israel,ISR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.176,4.723,4.14,3.917,3.731,4.169,4.812,3.695,3.596,3.15
Italy,ITA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.896,11.688,11.211,10.61,9.951,9.164,9.497,8.069,7.627,6.778
Jamaica,JAM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.825,8.634,7.399,5.47,4.987,6.501,5.188,4.083,4.4,4.885
Jordan,JOR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,13.075,15.275,18.12,18.257,16.801,19.213,19.837,18.2,17.969,17.996
Japan,JPN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.385,3.132,2.822,2.467,2.351,2.809,2.828,2.6,2.6,2.563
Kazakhstan,KAZ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.93,4.96,4.9,4.85,4.8,4.89,5.546,4.86,4.821,4.794
Kenya,KEN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.762,2.757,3.541,4.284,5.014,5.619,5.693,5.707,5.567,5.434
Kyrgyzstan,KGZ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.338,3.474,3.57,3.67,4.295,4.63,4.096,4.043,3.991,3.289
Cambodia,KHM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0.393,0.716,0.141,0.13,0.119,0.172,0.396,0.231,0.225,0.27
Kiribati,KIR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
St. Kitts and Nevis,KNA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
"Korea, Rep.",KOR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.546,3.65,3.653,3.824,3.746,3.931,3.639,2.857,2.675,2.604
Kuwait,KWT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.2,2.16,2.227,2.204,2.251,3.557,3.002,2.174,2.127,2.144
Latin America & Caribbean (excluding high income),LAC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.676731992,7.890432825,8.217284203,8.062001874,8.090688681,10.21771636,9.180661029,6.863306501,6.101589843,6.141125532
Laos,LAO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.494,2.881,3.268,2.9,2.537,2.361,2.066,1.209,1.188,1.218
Lebanon,LBN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.306,9.786,10.251,10.745,11.301,13.284,12.669,11.6,11.543,
Liberia,LBR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.557,3.081,3.066,3.056,3.068,4.109,3.845,2.977,2.933,2.882
Libya,LBY,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,19.676,19.522,19.02,18.836,19.05,19.613,19.641,19.282,18.753,18.615
St. Lucia,LCA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,20.858,19.933,19.136,19.329,15.613,25.224,20.514,15.934,11.092,10.928
Latin America & Caribbean,LCN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.668734307,7.729851555,8.02899419,7.932470904,8.000433575,10.21428159,9.157520461,6.91530044,6.207431309,6.238519712
Least developed countries: UN classification,LDC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.839384551,4.906837692,4.969473103,4.887023551,4.886146554,5.639128799,5.753024166,5.088444568,4.946423147,4.891534033
Low income,LIC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.512770131,5.607696443,5.691854095,5.541300637,5.525978679,6.114632525,6.148676793,5.485768118,5.297353888,5.090457373
Liechtenstein,LIE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,
Sri Lanka,LKA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.519,4.242,4.046,4.318,4.67,5.364,4.981,4.528,5.997,4.996
Lower middle income,LMC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.159380255,6.046551853,6.133608043,6.124545925,5.631349755,6.674717298,6.023665848,4.855303708,4.413936003,4.40371394
Low & middle income,LMY,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.926345946,6.008257348,6.054724029,6.000988753,5.860904625,6.690896715,6.226029712,5.484555473,5.087677414,5.04129616
Lesotho,LSO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,16.254,16.17,16.401,16.625,16.876,18.399,18.23,16.688,16.457,16.147
Late-demographic dividend,LTE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.100332372,5.26949442,5.260335774,5.039761855,5.185184721,5.918844427,5.495153627,5.182734979,4.805538352,4.649919058
Lithuania,LTU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.12,7.862,7.073,6.147,6.255,8.487,7.112,5.955,6.841,7.504
Luxembourg,LUX,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.796,6.669,5.523,5.589,5.592,6.766,5.571,4.588,5.184,5.935
Latvia,LVA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.873,9.643,8.715,7.412,6.312,8.098,7.513,6.815,6.465,6.72
